time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Zone,.Letter
2022/09/25/12:53:04.108001,11,195306,0,GPS1_Frame,42.33195783333334,-71.09758533333334,45.4,327185.1109797153,4688764.977610028,19,T
2022/09/25/12:53:05.144978,12,195307,0,GPS1_Frame,42.33195916666667,-71.09758416666666,45.4,327185.2107543857,4688765.123295621,19,T
2022/09/25/12:53:06.128821,13,195308,0,GPS1_Frame,42.33195966666667,-71.0975835,45.5,327185.26705116185,4688765.177462012,19,T
2022/09/25/12:53:07.161875,14,195309,0,GPS1_Frame,42.331959999999995,-71.09758316666667,45.7,327185.29542778677,4688765.213798735,19,T
2022/09/25/12:53:08.146300,15,195310,0,GPS1_Frame,42.33195966666667,-71.09758333333333,45.8,327185.28078299784,4688765.177123315,19,T
2022/09/25/12:53:09.136214,16,195311,0,GPS1_Frame,42.331959999999995,-71.0975835,45.9,327185.267964115,4688765.214476127,19,T
2022/09/25/12:53:10.120123,17,195312,0,GPS1_Frame,42.331959833333336,-71.0975835,46.0,327185.2675076385,4688765.195969069,19,T
2022/09/25/12:53:11.143365,18,195313,0,GPS1_Frame,42.331960333333335,-71.09758383333333,46.2,327185.24141339655,4688765.252167635,19,T
2022/09/25/12:53:12.084429,19,195314,0,GPS1_Frame,42.331961,-71.09758433333333,46.4,327185.20204379386,4688765.327211954,19,T
2022/09/25/12:53:13.126729,20,195315,0,GPS1_Frame,42.33196216666667,-71.09758466666668,46.7,327185.1777754583,4688765.457438752,19,T
2022/09/25/12:53:14.094101,21,195316,0,GPS1_Frame,42.3319635,-71.09758466666668,47.0,327185.1814272731,4688765.605495217,19,T
2022/09/25/12:53:15.166631,22,195317,0,GPS1_Frame,42.331965000000004,-71.09758483333333,47.2,327185.1718037301,4688765.772397436,19,T
2022/09/25/12:53:16.101719,23,195318,0,GPS1_Frame,42.331965833333335,-71.09758433333333,47.2,327185.2152816207,4688765.863916638,19,T
2022/09/25/12:53:17.107465,24,195319,0,GPS1_Frame,42.33196666666666,-71.09758400000001,47.3,327185.24502767157,4688765.9557745345,19,T
2022/09/25/12:53:18.140012,25,195320,0,GPS1_Frame,42.33196816666667,-71.09758366666667,47.6,327185.2765996348,4688766.1216606675,19,T
2022/09/25/12:53:19.110784,26,195321,0,GPS1_Frame,42.331968833333335,-71.09758400000001,47.8,327185.2509618693,4688766.196366291,19,T
2022/09/25/12:53:20.113069,27,195322,0,GPS1_Frame,42.3319695,-71.09758366666667,47.9,327185.2802514483,4688766.269717132,19,T
2022/09/25/12:53:21.114530,28,195323,0,GPS1_Frame,42.33197116666667,-71.09758366666667,47.9,327185.2848162153,4688766.454787713,19,T
2022/09/25/12:53:22.116853,29,195324,0,GPS1_Frame,42.331973166666664,-71.09758383333333,47.9,327185.27656210284,4688766.677211104,19,T
2022/09/25/12:53:23.119443,30,195325,0,GPS1_Frame,42.33197583333334,-71.09758383333333,47.8,327185.28386573127,4688766.973324035,19,T
2022/09/25/12:53:24.189328,31,195326,0,GPS1_Frame,42.33197700000001,-71.09758366666667,47.7,327185.30079290096,4688767.102534746,19,T
2022/09/25/12:53:25.143995,32,195327,0,GPS1_Frame,42.3319785,-71.09758433333333,47.8,327185.2499738622,4688767.270453051,19,T
2022/09/25/12:53:26.106992,33,195328,0,GPS1_Frame,42.33197883333334,-71.0975855,47.8,327185.1547639913,4688767.309838039,19,T
2022/09/25/12:53:27.110493,34,195329,0,GPS1_Frame,42.3319785,-71.09758633333333,47.8,327185.0851918775,4688767.274517404,19,T
2022/09/25/12:53:28.117180,35,195330,0,GPS1_Frame,42.33197816666667,-71.09758666666667,47.8,327185.05681525473,4688767.238180681,19,T
2022/09/25/12:53:29.117560,36,195331,0,GPS1_Frame,42.331977499999994,-71.09758683333332,47.5,327185.041257515,4688767.164491143,19,T
2022/09/25/12:53:30.118913,37,195332,0,GPS1_Frame,42.33197783333333,-71.09758749999999,47.6,327184.9872431397,4688767.202860044,19,T
2022/09/25/12:53:31.104778,38,195333,0,GPS1_Frame,42.3319785,-71.09758866666667,47.6,327184.89294622693,4688767.279259153,19,T
2022/09/25/12:53:32.090990,39,195334,0,GPS1_Frame,42.3319785,-71.09758983333333,47.5,327184.79682339955,4688767.28163003,19,T
2022/09/25/12:53:33.115807,40,195335,0,GPS1_Frame,42.33197883333334,-71.09759000000001,47.1,327184.784004524,4688767.318982841,19,T
2022/09/25/12:53:34.175796,41,195336,0,GPS1_Frame,42.33198049999999,-71.0975905,47.1,327184.7473738112,4688767.505069513,19,T
2022/09/25/12:53:35.105819,42,195337,0,GPS1_Frame,42.33198233333333,-71.097591,47.1,327184.71119957924,4688767.709663242,19,T
2022/09/25/12:53:36.126834,43,195338,0,GPS1_Frame,42.33198349999999,-71.09759183333334,47.1,327184.6457357699,4688767.840906134,19,T
2022/09/25/12:53:37.126304,44,195339,0,GPS1_Frame,42.331984,-71.09759266666667,47.0,327184.57844605227,4688767.898120797,19,T
2022/09/25/12:53:38.143331,45,195340,0,GPS1_Frame,42.3319855,-71.09759333333334,46.9,327184.52762703784,4688768.066039108,19,T
2022/09/25/12:53:39.161189,46,195341,0,GPS1_Frame,42.33198766666666,-71.09759383333333,46.8,327184.49236577447,4688768.307646954,19,T
2022/09/25/12:53:40.138484,47,195342,0,GPS1_Frame,42.331989166666666,-71.09759466666667,46.7,327184.42781493627,4688768.4759039655,19,T
2022/09/25/12:53:41.151849,48,195343,0,GPS1_Frame,42.33198933333333,-71.09759633333333,46.7,327184.2909531181,4688768.497798002,19,T
2022/09/25/12:53:42.101454,49,195344,0,GPS1_Frame,42.33199033333334,-71.09759666666667,46.4,327184.26622833515,4688768.609517747,19,T
2022/09/25/12:53:43.175334,50,195345,0,GPS1_Frame,42.3319915,-71.09759716666667,46.3,327184.22822820593,4688768.740083247,19,T
2022/09/25/12:53:44.144736,51,195346,0,GPS1_Frame,42.33199549999999,-71.097598,46.6,327184.17052457924,4688769.185946131,19,T
2022/09/25/12:53:45.158785,52,195347,0,GPS1_Frame,42.331999333333336,-71.09759733333334,46.3,327184.2359509322,4688769.610253677,19,T
2022/09/25/12:53:46.158699,53,195348,0,GPS1_Frame,42.33200283333334,-71.097597,46.0,327184.2730006643,4688769.998224503,19,T
2022/09/25/12:53:47.152885,54,195349,0,GPS1_Frame,42.332006333333325,-71.09759616666666,45.8,327184.3512458736,4688770.385179235,19,T
2022/09/25/12:53:48.163210,55,195350,0,GPS1_Frame,42.332009333333325,-71.09759616666666,45.8,327184.35946250916,4688770.718306281,19,T
2022/09/25/12:53:49.164575,56,195351,0,GPS1_Frame,42.332010833333335,-71.0975955,45.4,327184.41849812865,4688770.883515015,19,T
2022/09/25/12:53:50.138746,57,195352,0,GPS1_Frame,42.332010499999996,-71.09759466666667,45.0,327184.486244294,4688770.84480741,19,T
2022/09/25/12:53:51.157942,58,195353,0,GPS1_Frame,42.332009666666664,-71.09759383333333,44.5,327184.5526210243,4688770.750578631,19,T
2022/09/25/12:53:52.130395,59,195354,0,GPS1_Frame,42.332007833333336,-71.09759333333334,44.0,327184.5887952291,4688770.5459849,19,T
2022/09/25/12:53:53.144230,60,195355,0,GPS1_Frame,42.332006333333325,-71.09759283333332,43.5,327184.6258823964,4688770.378405283,19,T
2022/09/25/12:53:54.130075,61,195356,0,GPS1_Frame,42.332005166666676,-71.09759183333334,43.0,327184.70507799985,4688770.246823694,19,T
2022/09/25/12:53:55.106625,62,195357,0,GPS1_Frame,42.33200566666666,-71.0975905,42.4,327184.81630204816,4688770.29963529,19,T
2022/09/25/12:53:56.178135,63,195358,0,GPS1_Frame,42.332001000000005,-71.09758916666667,41.6,327184.9133752687,4688769.778728088,19,T
2022/09/25/12:53:57.167615,64,195359,0,GPS1_Frame,42.331997833333325,-71.09758766666667,41.0,327185.02828863484,4688769.424045713,19,T
2022/09/25/12:53:58.187048,65,195400,0,GPS1_Frame,42.33199533333333,-71.09758633333333,40.5,327185.13129609777,4688769.143730273,19,T
